region_name,country_code,province_name,city_name,region_city_rank,Unnamed: 5,Unnamed: 6,Unnamed: 7,latitude,longitude
UNITED STATES,US,ARIZONA,TUCSON,53,,,,32.2228765,-110.9748477
UNITED STATES,US,FLORIDA,HOLLYWOOD,54,,,,34.0980031,-118.329523
UNITED STATES,US,NORTH CAROLINA,ASHEVILLE,55,,,,35.6009498,-82.5540161
UNITED STATES,US,FLORIDA,ST. AUGUSTINE,56,,,,29.8946952,-81.3145395
UNITED STATES,US,TENNESSEE,MEMPHIS,57,,,,35.1460249,-90.0517638
UNITED STATES,US,ARIZONA,SEDONA,58,,,,34.8629426,-111.8137097
UNITED STATES,US,MINNESOTA,BLOOMINGTON,59,,,,39.1670396,-86.5342881
UNITED STATES,US,UTAH,SALT LAKE CITY,60,,,,40.7596198,-111.886797
UNITED STATES,US,NEVADA,RENO,61,,,,39.5261206,-119.8126581
UNITED STATES,US,CONNECTICUT,UNCASVILLE,62,,,,41.4345426,-72.1097996
UNITED STATES,US,TEXAS,FORT WORTH,63,,,,32.753177,-97.3327459
UNITED STATES,US,OKLAHOMA,OKLAHOMA CITY,64,,,,35.4729886,-97.5170536
UNITED STATES,US,MARYLAND,OCEAN CITY,65,,,,39.2776156,-74.5746001
UNITED STATES,US,TEXAS,GALVESTON,66,,,,29.3872254,-94.992736
UNITED STATES,US,HAWAII,LAHAINA,67,,,,20.88717735,-156.6748023632949
UNITED STATES,US,MARYLAND,BALTIMORE,68,,,,39.2908816,-76.610759
UNITED STATES,US,MINNESOTA,MINNEAPOLIS,69,,,,44.9772995,-93.2654692
UNITED STATES,US,NORTH CAROLINA,RALEIGH,70,,,,35.7803977,-78.6390989
UNITED STATES,US,MICHIGAN,DETROIT,71,,,,42.3315509,-83.0466403
UNITED STATES,US,NEW MEXICO,ALBUQUERQUE,72,,,,35.0841034,-106.650985
UNITED STATES,US,VIRGINIA,ARLINGTON,73,,,,32.7355816,-97.1071186
UNITED STATES,US,FLORIDA,WEST PALM BEACH,74,,,,26.715364,-80.0532942
UNITED STATES,US,HAWAII,KAPOLEI,75,,,,21.3340079,-158.077849
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,CANCUN,1,,,,21.1617854,-86.8510468
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,RIVIERA MAYA,2,,,,20.621933,-87.0757075
CENTRAL/SOUTH AMERICA,MX,JALISCO,PUERTO VALLARTA,3,,,,20.6407176,-105.220306
CENTRAL/SOUTH AMERICA,MX,BAJA CALIFORNIA SUR,CABO SAN LUCAS,4,,,,22.8938884,-109.92006
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,PLAYA DEL CARMEN,5,,,,20.6308643,-87.0779503
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,ISLA MUJERES,6,,,,21.2371906,-86.7350001
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,TULUM,7,,,,20.2152358,-87.42953531439221
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,PUERTO MORELOS,8,,,,20.848659,-86.876238
CENTRAL/SOUTH AMERICA,MX,,LOS CABOS,9,,,,21.166121,-100.936442
CENTRAL/SOUTH AMERICA,CS,,GUANACASTE,10,,,,10.378844050000001,-85.43382874573226
CANADA,CA,ONTARIO,TORONTO,1,,,,43.6534817,-79.3839347
CANADA,CA,ONTARIO,NIAGARA FALLS,2,,,,43.1065603,-79.0639039
CANADA,CA,QUEBEC,MONTREAL,3,,,,45.5031824,-73.5698065
CANADA,CA,BRITISH COLUMBIA,VANCOUVER,4,,,,49.2608724,-123.113952
CANADA,CA,QUEBEC,QUEBEC CITY,5,,,,46.8137431,-71.2084061
CANADA,CA,ALBERTA,CALGARY,6,,,,51.0460954,-114.065465
CANADA,CA,ALBERTA,EDMONTON,7,,,,53.5462055,-113.491241
CANADA,CA,ONTARIO,MISSISSAUGA,8,,,,43.5896231,-79.6443879
CANADA,CA,ONTARIO,OTTAWA,9,,,,45.4208777,-75.6901106
CANADA,CA,MANITOBA,WINNIPEG,10,,,,49.8955367,-97.1384584
AFRICA,SF,WESTERN CAPE,CAPE TOWN,1,,,,-33.928992,18.417396
AFRICA,KE,NAIROBI AREA,NAIROBI,2,,,,-1.2832533,36.8172449
AFRICA,SF,GAUTENG (PWV),JOHANNESBURG,3,,,,-26.205,28.049722
AFRICA,NI,,LAGOS,4,,,,6.4550575,3.3941795
AFRICA,SF,KWAZULU NATAL,DURBAN,5,,,,-29.861825,31.009909
AFRICA,SF,GAUTENG (PWV),PRETORIA,6,,,,-25.7459277,28.1879101
AFRICA,GH,GREATER ACCRA,ACCRA,7,,,,5.5571096,-0.2012376
AFRICA,KE,COAST,MOMBASA,8,,,,-4.05052,39.667169
AFRICA,ET,SHEWA,ADDIS ABABA,9,,,,9.0107934,38.7612525
AFRICA,WA,,WINDHOEK,10,,,,-22.5776104,17.0772739
PACIFIC,AS,NEW SOUTH WALES,SYDNEY,1,,,,-33.8698439,151.2082848
PACIFIC,AS,VICTORIA,MELBOURNE,2,,,,-37.8142176,144.9631608
PACIFIC,NZ,AUCKLAND,AUCKLAND,3,,,,-36.852095,174.7631803
PACIFIC,AS,QUEENSLAND,BRISBANE,4,,,,-27.4689682,153.0234991
PACIFIC,AS,WESTERN AUSTRALIA,PERTH,5,,,,-31.9558964,115.8605801
PACIFIC,AS,QUEENSLAND,GOLD COAST,6,,,,-28.0023731,153.4145987
PACIFIC,NZ,CANTERBURY,CHRISTCHURCH,7,,,,-43.530955,172.6366455
