region_name,country_code,province_name,city_name,region_city_rank,TA_main_page
UNITED STATES,US,NORTH CAROLINA,CHARLOTTE,30,https://www.tripadvisor.com/Tourism-g49022-Charlotte_North_Carolina-Vacations.html
UNITED STATES,US,INDIANA,INDIANAPOLIS,31,https://www.tripadvisor.com/Tourism-g37209-Indianapolis_Indiana-Vacations.html
UNITED STATES,US,FLORIDA,KEY WEST,32,https://www.tripadvisor.com/Tourism-g34345-Key_West_Florida_Keys_Florida-Vacations.html
UNITED STATES,US,NEW YORK,BROOKLYN,33,https://www.tripadvisor.com/Tourism-g60827-Brooklyn_New_York-Vacations.html
UNITED STATES,US,CALIFORNIA,ANAHEIM,34,https://www.tripadvisor.com/Tourism-g29092-Anaheim_California-Vacations.html
UNITED STATES,US,VIRGINIA,VIRGINIA BEACH,35,https://www.tripadvisor.com/Tourism-g58277-Virginia_Beach_Virginia-Vacations.html
UNITED STATES,US,GEORGIA,SAVANNAH,36,https://www.tripadvisor.com/Tourism-g60814-Savannah_Georgia-Vacations.html
UNITED STATES,US,ARIZONA,SCOTTSDALE,37,https://www.tripadvisor.com/Tourism-g31350-Scottsdale_Arizona-Vacations.html
UNITED STATES,US,TENNESSEE,PIGEON FORGE,38,https://www.tripadvisor.com/Tourism-g55270-Pigeon_Forge_Tennessee-Vacations.html
UNITED STATES,US,OHIO,COLUMBUS,39,https://www.tripadvisor.com/Tourism-g50226-Columbus_Ohio-Vacations.html
UNITED STATES,US,OREGON,PORTLAND,40,https://www.tripadvisor.com/Tourism-g52024-Portland_Oregon-Vacations.html
UNITED STATES,US,PUERTO RICO,SAN JUAN,41,https://www.tripadvisor.com/Tourism-g147320-San_Juan_Puerto_Rico-Vacations.html
UNITED STATES,US,TENNESSEE,GATLINBURG,42,https://www.tripadvisor.com/Tourism-g60842-Gatlinburg_Tennessee-Vacations.html
UNITED STATES,US,FLORIDA,JACKSONVILLE,43,https://www.tripadvisor.com/Tourism-g60805-Jacksonville_Florida-Vacations.html
UNITED STATES,US,FLORIDA,SAINT PETERSBURG,44,https://www.tripadvisor.com/Tourism-g34607-St_Petersburg_Florida-Vacations.html
UNITED STATES,US,SOUTH CAROLINA,CHARLESTON,45,https://www.tripadvisor.com/Tourism-g54171-Charleston_South_Carolina-Vacations.html
UNITED STATES,US,MISSOURI,SAINT LOUIS,46,https://www.tripadvisor.com/Tourism-g44881-Saint_Louis_Missouri-Vacations.html
UNITED STATES,US,MISSOURI,KANSAS CITY,47,https://www.tripadvisor.com/Tourism-g44535-Kansas_City_Missouri-Vacations.html
UNITED STATES,US,FLORIDA,CLEARWATER BEACH,48,https://www.tripadvisor.com/Tourism-g34141-Clearwater_Florida-Vacations.html
UNITED STATES,US,PENNSYLVANIA,PITTSBURGH,49,https://www.tripadvisor.com/Tourism-g53449-Pittsburgh_Pennsylvania-Vacations.html
UNITED STATES,US,FLORIDA,SARASOTA,50,https://www.tripadvisor.com/Tourism-g34618-Sarasota_Florida-Vacations.html
UNITED STATES,US,KENTUCKY,LOUISVILLE,51,https://www.tripadvisor.com/Tourism-g39604-Louisville_Kentucky-Vacations.html
UNITED STATES,US,FLORIDA,DAYTONA BEACH,52,https://www.tripadvisor.com/Tourism-g34172-Daytona_Beach_Florida-Vacations.html
UNITED STATES,US,ARIZONA,TUCSON,53,https://www.tripadvisor.com/Tourism-g60950-Tucson_Arizona-Vacations.html
UNITED STATES,US,FLORIDA,HOLLYWOOD,54,https://www.tripadvisor.com/Tourism-g34296-Hollywood_Broward_County_Florida-Vacations.html
UNITED STATES,US,NORTH CAROLINA,ASHEVILLE,55,https://www.tripadvisor.com/Tourism-g60742-Asheville_North_Carolina-Vacations.html
UNITED STATES,US,FLORIDA,ST. AUGUSTINE,56,https://www.tripadvisor.com/Tourism-g34599-St_Augustine_Florida-Vacations.html
UNITED STATES,US,TENNESSEE,MEMPHIS,57,https://www.tripadvisor.com/Tourism-g55197-Memphis_Tennessee-Vacations.html
UNITED STATES,US,ARIZONA,SEDONA,58,https://www.tripadvisor.com/Tourism-g31352-Sedona_Arizona-Vacations.html
UNITED STATES,US,MINNESOTA,BLOOMINGTON,59,https://www.tripadvisor.com/Tourism-g42881-Bloomington_Minnesota-Vacations.html
UNITED STATES,US,UTAH,SALT LAKE CITY,60,https://www.tripadvisor.com/Tourism-g60922-Salt_Lake_City_Utah-Vacations.html
UNITED STATES,US,NEVADA,RENO,61,https://www.tripadvisor.com/Tourism-g45992-Reno_Nevada-Vacations.html
UNITED STATES,US,CONNECTICUT,UNCASVILLE,62,https://www.tripadvisor.com/Tourism-g33952-Uncasville_Mystic_Country_Connecticut-Vacations.html
UNITED STATES,US,TEXAS,FORT WORTH,63,https://www.tripadvisor.com/Tourism-g55857-Fort_Worth_Texas-Vacations.html
UNITED STATES,US,OKLAHOMA,OKLAHOMA CITY,64,https://www.tripadvisor.com/Tourism-g51560-Oklahoma_City_Oklahoma-Vacations.html
UNITED STATES,US,MARYLAND,OCEAN CITY,65,https://www.tripadvisor.com/Tourism-g41298-Ocean_City_Maryland-Vacations.html
UNITED STATES,US,TEXAS,GALVESTON,66,https://www.tripadvisor.com/Tourism-g55879-Galveston_Galveston_Island_Texas-Vacations.html
UNITED STATES,US,HAWAII,LAHAINA,67,https://www.tripadvisor.com/Tourism-g60634-Lahaina_Maui_Hawaii-Vacations.html
UNITED STATES,US,MARYLAND,BALTIMORE,68,https://www.tripadvisor.com/Tourism-g60811-Baltimore_Maryland-Vacations.html
UNITED STATES,US,MINNESOTA,MINNEAPOLIS,69,https://www.tripadvisor.com/Tourism-g43323-Minneapolis_Minnesota-Vacations.html
UNITED STATES,US,NORTH CAROLINA,RALEIGH,70,https://www.tripadvisor.com/Tourism-g49463-Raleigh_North_Carolina-Vacations.html
UNITED STATES,US,MICHIGAN,DETROIT,71,https://www.tripadvisor.com/Tourism-g42139-Detroit_Michigan-Vacations.html
UNITED STATES,US,NEW MEXICO,ALBUQUERQUE,72,https://www.tripadvisor.com/Tourism-g60933-Albuquerque_New_Mexico-Vacations.html
UNITED STATES,US,VIRGINIA,ARLINGTON,73,https://www.tripadvisor.com/Tourism-g30242-Arlington_Virginia-Vacations.html
UNITED STATES,US,FLORIDA,WEST PALM BEACH,74,https://www.tripadvisor.com/Tourism-g34731-West_Palm_Beach_Florida-Vacations.html
UNITED STATES,US,HAWAII,KAPOLEI,75,https://www.tripadvisor.com/Tourism-g60654-Kapolei_Oahu_Hawaii-Vacations.html
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,CANCUN,1,https://www.tripadvisor.com/Tourism-g150807-Cancun_Yucatan_Peninsula-Vacations.html
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,RIVIERA MAYA,2,https://www.tripadvisor.com/Tourism-g659488-Riviera_Maya_Yucatan_Peninsula-Vacations.html
CENTRAL/SOUTH AMERICA,MX,JALISCO,PUERTO VALLARTA,3,https://www.tripadvisor.com/Tourism-g150793-Puerto_Vallarta-Vacations.html
CENTRAL/SOUTH AMERICA,MX,BAJA CALIFORNIA SUR,CABO SAN LUCAS,4,https://www.tripadvisor.com/Tourism-g152515-Cabo_San_Lucas_Los_Cabos_Baja_California-Vacations.html
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,PLAYA DEL CARMEN,5,https://www.tripadvisor.com/Tourism-g150812-Playa_del_Carmen_Yucatan_Peninsula-Vacations.html
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,ISLA MUJERES,6,https://www.tripadvisor.com/Tourism-g150810-Isla_Mujeres_Yucatan_Peninsula-Vacations.html
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,TULUM,7,https://www.tripadvisor.com/Tourism-g150813-Tulum_Yucatan_Peninsula-Vacations.html
CENTRAL/SOUTH AMERICA,MX,QUINTANA ROO,PUERTO MORELOS,8,https://www.tripadvisor.com/Tourism-g240327-Puerto_Morelos_Yucatan_Peninsula-Vacations.html
CENTRAL/SOUTH AMERICA,MX,,LOS CABOS,9,https://www.tripadvisor.com/Tourism-g150773-Los_Cabos_Baja_California-Vacations.html
CENTRAL/SOUTH AMERICA,CS,,GUANACASTE,10,https://www.tripadvisor.com/Tourism-g309235-Province_of_Guanacaste-Vacations.html
CANADA,CA,ONTARIO,TORONTO,1,https://www.tripadvisor.com/Tourism-g155019-Toronto_Ontario-Vacations.html
CANADA,CA,ONTARIO,NIAGARA FALLS,2,https://www.tripadvisor.com/Tourism-g154998-Niagara_Falls_Ontario-Vacations.html
CANADA,CA,QUEBEC,MONTREAL,3,https://www.tripadvisor.com/Tourism-g155032-Montreal_Quebec-Vacations.html
CANADA,CA,BRITISH COLUMBIA,VANCOUVER,4,https://www.tripadvisor.com/Tourism-g154943-Vancouver_British_Columbia-Vacations.html
CANADA,CA,QUEBEC,QUEBEC CITY,5,https://www.tripadvisor.com/Tourism-g155033-Quebec_City_Quebec-Vacations.html
CANADA,CA,ALBERTA,CALGARY,6,https://www.tripadvisor.com/Tourism-g154913-Calgary_Alberta-Vacations.html
CANADA,CA,ALBERTA,EDMONTON,7,https://www.tripadvisor.com/Tourism-g154914-Edmonton_Alberta-Vacations.html
CANADA,CA,ONTARIO,MISSISSAUGA,8,https://www.tripadvisor.com/Tourism-g154996-Mississauga_Ontario-Vacations.html
CANADA,CA,ONTARIO,OTTAWA,9,https://www.tripadvisor.com/Tourism-g155004-Ottawa_Ontario-Vacations.html
CANADA,CA,MANITOBA,WINNIPEG,10,https://www.tripadvisor.com/Tourism-g154954-Winnipeg_Manitoba-Vacations.html
AFRICA,SF,WESTERN CAPE,CAPE TOWN,1,https://www.tripadvisor.com/Tourism-g1722390-Cape_Town_Western_Cape-Vacations.html
AFRICA,KE,NAIROBI AREA,NAIROBI,2,https://www.tripadvisor.com/Tourism-g294207-Nairobi-Vacations.html
AFRICA,SF,GAUTENG (PWV),JOHANNESBURG,3,https://www.tripadvisor.com/Tourism-g312578-Johannesburg_Greater_Johannesburg_Gauteng-Vacations.html
AFRICA,NI,,LAGOS,4,https://www.tripadvisor.com/Tourism-g304026-Lagos_Lagos_State-Vacations.html
AFRICA,SF,KWAZULU NATAL,DURBAN,5,https://www.tripadvisor.com/Tourism-g312595-Durban_KwaZulu_Natal-Vacations.html
AFRICA,SF,GAUTENG (PWV),PRETORIA,6,https://www.tripadvisor.com/Tourism-g312583-Pretoria_Gauteng-Vacations.html
AFRICA,GH,GREATER ACCRA,ACCRA,7,https://www.tripadvisor.com/Tourism-g293797-Accra_Greater_Accra-Vacations.html
AFRICA,KE,COAST,MOMBASA,8,https://www.tripadvisor.com/Tourism-g294210-Mombasa_Coast_Province-Vacations.html
AFRICA,ET,SHEWA,ADDIS ABABA,9,https://www.tripadvisor.com/Tourism-g293791-Addis_Ababa-Vacations.html
AFRICA,WA,,WINDHOEK,10,https://www.tripadvisor.com/Tourism-g293821-Windhoek_Khomas_Region-Vacations.html
