,Unnamed: 0,region_name,country_code,province_name,city_name,region_city_rank,attractions_url,30_attractions_char
20,20,SOUTH EAST ASIA,RP,METRO MANILA,MANILA,1,https://www.tripadvisor.com/Attractions-g298573-Activities-oa0-Manila_Metro_Manila_Luzon.html,"['Neighborhoods • Historic Walking Areas', 'Religious Sites', 'Historic Sites • Parks', 'Speciality Museums', 'Parks', 'Religious Sites', 'History Museums', 'Aquariums', 'Shopping Malls', 'Bodies of Water', 'Points of Interest & Landmarks • Flea & Street Markets', 'Historic Sites', 'Educational sites', 'Religious Sites', 'Parks • Religious Sites', 'Historic Sites • Points of Interest & Landmarks', 'Natural History Museums', 'Neighborhoods', 'Speciality Museums', 'Shopping Malls', 'Religious Sites', 'Speciality Museums • History Museums', 'Ballets • Civic Centres', 'Architectural Buildings • Religious Sites', 'Art Museums', 'Shopping Malls', 'Lookouts • Religious Sites', 'History Museums', 'Monuments & Statues', 'Shopping Malls']"
21,21,SOUTH EAST ASIA,TH,KRUNG THEP MAHANAKHON,BANGKOK,2,https://www.tripadvisor.com/Attractions-g293916-Activities-oa0-Bangkok.html,"['Points of Interest & Landmarks • Religious Sites', 'Public Transportation Systems', 'Religious Sites • Churches & Cathedrals', 'Flea & Street Markets', 'Historic Sites', 'Religious Sites', 'Speciality Museums • Architectural Buildings', 'Shopping Malls', 'Lookouts • Religious Sites', 'Religious Sites', 'Parks', 'Shopping Malls', 'Department Stores • Shopping Malls', 'Neighborhoods', 'Bodies of Water', 'Shopping Malls', 'Neighborhoods', 'Aquariums', 'Zoos', 'Shopping Malls', 'Shopping Malls', 'Arenas & Stadiums', 'Nature & Wildlife Areas', 'Religious Sites', 'Shopping Malls', 'Art Museums', 'Neighborhoods', 'Religious Sites', 'Arenas & Stadiums', 'Points of Interest & Landmarks • Architectural Buildings']"
22,22,SOUTH EAST ASIA,SN,,SINGAPORE,3,https://www.tripadvisor.com/Attractions-g294265-Activities-oa0-Singapore.html,"['Points of Interest & Landmarks • Gardens', 'Parks • Gardens', 'Gardens', 'Public Transportation Systems', 'Zoos', 'Points of Interest & Landmarks • Parks', 'Marinas • Bodies of Water', 'Points of Interest & Landmarks • Observation Decks & Towers', 'Points of Interest & Landmarks • Observation Decks & Towers', 'Speciality Museums • History Museums', 'Points of Interest & Landmarks • Observatories & Planetariums', 'Neighborhoods', 'Points of Interest & Landmarks', 'Monuments & Statues', 'Speciality Museums • Religious Sites', 'Military Museums • Historic Sites', 'Scenic Walking Areas', 'Points of Interest & Landmarks • Parks', 'Nature & Wildlife Areas', 'Speciality Museums', 'Trams • Lookouts', 'Nature & Wildlife Areas • Zoos', 'Shopping Malls', 'Nature & Wildlife Areas', 'Shopping Malls', 'History Museums', 'History Museums', 'Flea & Street Markets', 'Hiking Trails • Scenic Walking Areas', 'Parks']"
23,23,SOUTH EAST ASIA,MY,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,4,https://www.tripadvisor.com/Attractions-g298570-Activities-oa0-Kuala_Lumpur_Wilayah_Persekutuan.html,"['Architectural Buildings', 'Parks', 'Shopping Malls', 'Art Museums', 'Nature & Wildlife Areas • Parks', 'Observation Decks & Towers', 'Neighborhoods', 'Speciality Museums', 'Scenic Walking Areas', 'Visitor Centers', 'Religious Sites', 'Shopping Malls', 'Religious Sites', 'Aquariums', 'Parks • Gardens', 'Points of Interest & Landmarks • Shopping Malls', 'Neighborhoods', 'Science Museums', 'Shopping Malls', 'Visitor Centers • Speciality Museums', 'Shopping Malls', 'Shopping Malls', 'Architectural Buildings', 'Points of Interest & Landmarks • Fountains', 'Religious Sites', 'Art Galleries', 'Points of Interest & Landmarks', 'Convention Centers', 'Religious Sites', 'History Museums']"
24,24,SOUTH EAST ASIA,TH,PHUKET,PHUKET,5,https://www.tripadvisor.com/Attractions-g293920-Activities-oa0-Phuket.html,"['Points of Interest & Landmarks • Religious Sites', 'Points of Interest & Landmarks', 'Beaches', 'Beaches', 'Nature & Wildlife Areas', 'Points of Interest & Landmarks • Beaches', 'Beaches • Lookouts', 'Points of Interest & Landmarks • Lookouts', 'Nature & Wildlife Areas', 'Beaches', 'Beaches', 'Beaches', 'Beaches', 'Lookouts', 'Flea & Street Markets', 'Shopping Malls', 'Beaches', 'Lookouts', 'Shopping Malls', 'Beaches', 'Points of Interest & Landmarks • Scenic Walking Areas', 'Nature & Wildlife Areas', 'Nature & Wildlife Areas', 'Beaches', 'Amusement & Theme Parks • Water Parks', 'Beaches', 'Beaches', 'Flea & Street Markets', 'Arenas & Stadiums', 'Islands']"
25,25,SOUTH EAST ASIA,TW,T'AI-PEI CHUEN-SHIH,TAIPEI,6,https://www.tripadvisor.com/Attractions-g293913-Activities-oa0-Taipei.html,"['Points of Interest & Landmarks • Monuments & Statues', 'Speciality Museums • History Museums', 'Points of Interest & Landmarks', 'Architectural Buildings • Shopping Malls', 'Religious Sites', 'Trams', 'Zoos', 'Flea & Street Markets', 'Hot Springs & Geysers', 'Mountains • National Parks', 'Parks', 'Educational sites', 'Religious Sites', 'Points of Interest & Landmarks • Architectural Buildings', 'Neighborhoods', 'Public Transportation Systems', 'Points of Interest & Landmarks • Monuments & Statues', 'Art Galleries • Points of Interest & Landmarks', 'Historic Sites • Architectural Buildings', 'Religious Sites', 'Historic Sites', 'History Museums', 'Parks • Geologic Formations', 'Flea & Street Markets', 'Libraries', 'Seasonal Fireworks', 'Amusement & Theme Parks', 'Theaters', 'Parks', 'Parks • Gardens']"
26,26,SOUTH EAST ASIA,HK,HONG KONG SAR,HONG KONG,7,https://www.tripadvisor.com/Attractions-g294217-Activities-oa0-Hong_Kong.html,"['Observation Decks & Towers', 'Points of Interest & Landmarks • Architectural Buildings', 'Ferries', 'Amusement & Theme Parks', 'Points of Interest & Landmarks', 'Trams', 'Amusement & Theme Parks • Aquariums', 'Parks', 'Islands • Religious Sites', 'Architectural Buildings • Gardens', 'Points of Interest & Landmarks', 'Observation Decks & Towers', 'Horse Tracks', 'Trams • Points of Interest & Landmarks', 'Neighborhoods', 'Hiking Trails', 'Parks', 'Neighborhoods • Piers & Boardwalks', 'History Museums', 'Trams', 'Religious Sites', 'Points of Interest & Landmarks • Piers & Boardwalks', 'Visitor Centers', 'Islands • Religious Sites', 'Neighborhoods', 'Historic Walking Areas • Flea & Street Markets', 'Islands • Hiking Trails', 'Islands', 'Neighborhoods • Points of Interest & Landmarks', 'History Museums']"
27,27,SOUTH EAST ASIA,VM,HO CHI MINH,HO CHI MINH CITY,8,https://www.tripadvisor.com/Attractions-g293925-Activities-oa0-Ho_Chi_Minh_City.html,"['History Museums', 'Points of Interest & Landmarks', 'Architectural Buildings • Government Buildings', 'Historic Sites • Architectural Buildings', 'Theaters', 'Theaters', 'Points of Interest & Landmarks • Observation Decks & Towers', 'Points of Interest & Landmarks', 'Flea & Street Markets', 'Churches & Cathedrals', 'Points of Interest & Landmarks', 'Speciality Museums', 'Points of Interest & Landmarks', 'Theaters', 'Religious Sites', 'Art Museums', 'Parks', 'Points of Interest & Landmarks', 'History Museums', 'Neighborhoods', 'Amusement & Theme Parks • Water Parks', 'Neighborhoods', 'Religious Sites', 'Shopping Malls', 'Historic Sites • Architectural Buildings', 'Neighborhoods', 'Points of Interest & Landmarks', 'Shopping Malls', 'Shopping Malls', 'Points of Interest & Landmarks • Monuments & Statues']"
28,28,SOUTH EAST ASIA,RP,AKLAN,BORACAY,9,https://www.tripadvisor.com/Attractions-g294260-Activities-oa0-Boracay_Malay_Aklan_Province_Panay_Island_Visayas.html,"['Beaches', 'Beaches', 'Beaches', 'Points of Interest & Landmarks', 'Points of Interest & Landmarks', 'Points of Interest & Landmarks', 'Beaches', 'Islands', 'Beaches', 'Islands', 'Mountains', 'Beaches', 'Shopping Malls', 'Points of Interest & Landmarks • Islands', 'Beaches', 'Islands • Beaches', 'Gardens', 'Churches & Cathedrals', 'Visitor Centers', 'Beaches', 'Caverns & Caves', 'Shopping Malls', 'Beaches', 'Shopping Malls', 'Spas', 'Nature & Wildlife Areas • Forests', 'Forests', 'Spas', 'Beaches', 'Flea & Street Markets']"
29,29,SOUTH EAST ASIA,TH,CHIANG MAI,CHIANG MAI,10,https://www.tripadvisor.com/Attractions-g293917-Activities-oa0-Chiang_Mai.html,"['Ancient Ruins • Architectural Buildings', 'Nature & Wildlife Areas', 'Religious Sites', 'Flea & Street Markets', 'Ancient Ruins • Religious Sites', 'Nature & Wildlife Areas', 'Points of Interest & Landmarks • Religious Sites', 'Speciality Museums • Historic Sites', 'Flea & Street Markets', 'Gardens', 'Cemeteries • Religious Sites', 'Cooking Classes', 'Religious Sites', 'Flea & Street Markets', 'Architectural Buildings • Religious Sites', 'Points of Interest & Landmarks', 'Religious Sites', 'Religious Sites', 'Nature & Wildlife Areas', 'Speciality Museums', 'Nature & Wildlife Areas', 'Nature & Wildlife Areas', 'Cooking Classes', 'Bodies of Water • Parks', 'Religious Sites', 'Points of Interest & Landmarks • Religious Sites', 'Parks • Waterfalls', 'Nature & Wildlife Areas • Zoos', 'Art Galleries', 'Shopping Malls']"
